bdwpt_penetration,traffic_density,day_type,weather_condition,pv_penetration,scenario_name,run_id,min_voltage_pu,max_voltage_pu,voltage_violations,avg_voltage_deviation,peak_demand_mw,peak_shaving_achieved_mw,reverse_power_flow_hours,total_energy_traded_mwh,avg_ev_soc_end,charging_efficiency,v2g_utilization,total_losses_mwh,transformer_loading_max,line_loading_max,grid_cost_savings,ev_owner_revenue,peak_reduction_percent,total_benefits
0.4,high,weekday,rain,0.3,High_Traffic_Rain,1,0.9951734960623351,0.9977775639619966,0,0.0028467059405296313,0.1441033831799372,0,0,0.0031201443110842686,0.6680509778261343,0.95,0.0,0.0,0.0,0.0,0.0,0.23401082333132014,0.0,0.23401082333132014
0.4,high,weekday,rain,0.3,High_Traffic_Rain,2,0.9950508625070318,0.9977717032188002,0,0.0028837895408733243,0.14636617943734212,0,0,0.0034141700803311326,0.5741109293694481,0.95,0.0,0.0,0.0,0.0,0.0,0.25606275602483497,0.0,0.25606275602483497
0.4,high,weekday,rain,0.3,High_Traffic_Rain,3,0.9950635920882154,0.9977438124557514,0,0.0028688583107000397,0.141956836843112,0,0,0.002988127531911634,0.6186880104499793,0.95,0.0,0.0,0.0,0.0,0.0,0.22410956489337253,0.0,0.22410956489337253
0.4,high,weekday,rain,0.3,High_Traffic_Rain,4,0.9951515925684569,0.9977684978757537,0,0.0028634126127262322,0.14595635554674638,0,0,0.002956987823551171,0.5165756687202007,0.95,0.0,0.0,0.0,0.0,0.0,0.22177408676633784,0.0,0.22177408676633784
0.4,high,weekday,rain,0.3,High_Traffic_Rain,5,0.9943673101382091,0.9977685040223788,0,0.0030130074961017437,0.14790514024343945,0,0,0.004516194685823688,0.5383062576728258,0.95,0.0,0.0,0.0,0.0,0.0,0.3387146014367766,0.0,0.3387146014367766
0.4,high,weekday,rain,0.3,High_Traffic_Rain,6,0.9942639653324965,0.9978059304003682,0,0.0028989778963991798,0.14455253472758925,0,0,0.003745659500772906,0.5239300707289658,0.95,0.0,0.0,0.0,0.0,0.0,0.28092446255796794,0.0,0.28092446255796794
0.4,high,weekday,rain,0.3,High_Traffic_Rain,7,0.9946408584641679,0.9977698631673015,0,0.0028646293640497747,0.1466456381042531,0,0,0.00397254155940052,0.5273077126692323,0.95,0.0,0.0,0.0,0.0,0.0,0.29794061695503904,0.0,0.29794061695503904
0.4,high,weekday,rain,0.3,High_Traffic_Rain,8,0.995092378457906,0.9977756062710366,0,0.002860046668176063,0.14679975647803234,0,0,0.0038760488134186636,0.5657324233593704,0.95,0.0,0.0,0.0,0.0,0.0,0.29070366100639977,0.0,0.29070366100639977
0.4,high,weekday,rain,0.3,High_Traffic_Rain,9,0.9942110837634415,0.9977781687377438,0,0.002931989807969714,0.14354762873053797,0,0,0.003748194794716587,0.5404244397062473,0.95,0.0,0.0,0.0,0.0,0.0,0.281114609603744,0.0,0.281114609603744
0.4,low,weekend,clear,0.5,Weekend_HighPV,0,0.9949933158383997,0.998401749635213,0,0.002300462353440947,0.11499792578802727,0,0,0.0036360225224172523,0.5883007596977897,0.95,0.0,0.0,0.0,0.0,0.0,0.2727016891812939,0.0,0.2727016891812939
0.4,low,weekend,clear,0.5,Weekend_HighPV,1,0.9952330706098599,0.9984092769812027,0,0.0023956807037581952,0.10952200066066871,0,0,0.003971255373418652,0.5252989005927772,0.95,0.0,0.0,0.0,0.0,0.0,0.2978441530063989,0.0,0.2978441530063989
0.4,low,weekend,clear,0.5,Weekend_HighPV,2,0.995384689645918,0.9983876044261029,0,0.0023479706074325405,0.11217377468199005,0,0,0.003472110416315602,0.5481093697250536,0.95,0.0,0.0,0.0,0.0,0.0,0.2604082812236701,0.0,0.2604082812236701
0.4,low,weekend,clear,0.5,Weekend_HighPV,3,0.9952480689383735,0.9984156653236557,0,0.0021917537315121684,0.10760674071928499,0,0,0.003132553573223715,0.5441226289287625,0.95,0.0,0.0,0.0,0.0,0.0,0.23494151799177865,0.0,0.23494151799177865
0.4,low,weekend,clear,0.5,Weekend_HighPV,4,0.9948598493120181,0.9983763470658864,0,0.0022686299366631007,0.1148816130734602,0,0,0.0032405748991612073,0.5662645281159987,0.95,0.0,0.0,0.0,0.0,0.0,0.24304311743709053,0.0,0.24304311743709053
0.4,low,weekend,clear,0.5,Weekend_HighPV,5,0.9951784228529809,0.9984209681217642,0,0.0022358513959149172,0.10882925288830253,0,0,0.0031722462665613902,0.5423842525825215,0.95,0.0,0.0,0.0,0.0,0.0,0.23791846999210425,0.0,0.23791846999210425
0.4,low,weekend,clear,0.5,Weekend_HighPV,6,0.9955935789075405,0.9983949708981757,0,0.002471411440566999,0.10761791141221365,0,0,0.004351798140224113,0.5283883373543439,0.95,0.0,0.0,0.0,0.0,0.0,0.32638486051680843,0.0,0.32638486051680843
0.4,low,weekend,clear,0.5,Weekend_HighPV,7,0.9953936662707055,0.9984222148263993,0,0.0023918599585706283,0.11360090336939915,0,0,0.004277507244411121,0.5556494507620475,0.95,0.0,0.0,0.0,0.0,0.0,0.3208130433308341,0.0,0.3208130433308341
0.4,low,weekend,clear,0.5,Weekend_HighPV,8,0.9952100377550221,0.9983801921341133,0,0.00227466179978724,0.11151599723867288,0,0,0.0030975481041813917,0.5403892807323547,0.95,0.0,0.0,0.0,0.0,0.0,0.23231610781360437,0.0,0.23231610781360437
0.4,low,weekend,clear,0.5,Weekend_HighPV,9,0.9951248437159528,0.9983358914837946,0,0.002386032498407075,0.10911311893275455,0,0,0.00403777439093061,0.5700013096574602,0.95,0.0,0.0,0.0,0.0,0.0,0.30283307931979575,0.0,0.30283307931979575
